,상호명,상권업종중분류명,표준산업분류명,도로명주소,시군구명,경도,위도,Dbscan_50m,Dbscan_100m
37526,메가커피,커피점/카페,비알콜 음료점업,부산광역시 동래구 온천장로 52,동래구,129.080962442927,35.2160579455466,2,-1
37581,백금당,커피점/카페,비알콜 음료점업,부산광역시 부산진구 서전로37번길 20,부산진구,129.064025380665,35.1587625642236,10,3
37601,이솝,커피점/카페,비알콜 음료점업,부산광역시 부산진구 백양순환로 141,부산진구,129.041172960856,35.1682003921593,-1,-1
37631,카페구름,커피점/카페,비알콜 음료점업,부산광역시 동구 영초윗길 21,동구,129.034850272712,35.1170642450213,1,-1
37632,젤리죔죔,커피점/카페,비알콜 음료점업,부산광역시 동래구 사직로 80,동래구,129.057535160126,35.1966416954681,9,-1
37652,에피소드인커피,커피점/카페,비알콜 음료점업,부산광역시 서구 임시수도기념로 19,서구,129.018848098736,35.1032550987525,1,-1
37663,바다소금커피,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 당사로4길 4,기장군,129.210692777293,35.1866983414227,-1,-1
37736,마들린느,커피점/카페,비알콜 음료점업,부산광역시 수영구 망미로28번길 61,수영구,129.101237230616,35.1704184799035,-1,-1
37737,메가커피주례,커피점/카페,비알콜 음료점업,부산광역시 사상구 양지로 3,사상구,129.004793781805,35.1529855481805,-1,-1
37753,스타니커피,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 차성동로51번길 3,기장군,129.216133779095,35.242339320677,6,-1
37773,더벤티,커피점/카페,비알콜 음료점업,부산광역시 사하구 사리로 42,사하구,128.998955666645,35.1036279623287,-1,-1
37806,비씨팔백서면점,커피점/카페,비알콜 음료점업,부산광역시 부산진구 서면문화로 50,부산진구,129.055413511289,35.1616412225762,10,3
37849,커피크로스,커피점/카페,비알콜 음료점업,부산광역시 동구 중앙대로 206,동구,129.045081835992,35.117625470822,1,-1
37881,탐앤탐스,커피점/카페,비알콜 음료점업,부산광역시 해운대구 마린시티1로 155,해운대구,129.148255056765,35.1572453776611,15,-1
37935,CafeRoko,커피점/카페,비알콜 음료점업,부산광역시 기장군 장안읍 장안로 368,기장군,129.244239885942,35.3702527950659,-1,-1
37937,순림샘하꼬방,커피점/카페,비알콜 음료점업,부산광역시 금정구 구서중앙로15번길 2,금정구,129.089431470377,35.254723257764,-1,-1
37947,카작해운대센텀점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 해운대로61번길 105,해운대구,129.129931380153,35.1949422084937,-1,-1
37960,동카페,커피점/카페,비알콜 음료점업,부산광역시 영도구 절영로49번길 32,영도구,129.040180508434,35.089327551832,1,-1
37973,컴앤씨미,커피점/카페,비알콜 음료점업,부산광역시 수영구 수영로540번길 51,수영구,129.115068289367,35.1534901155344,0,-1
37995,꽃마루,커피점/카페,비알콜 음료점업,부산광역시 강서구 공항진입로 79,강서구,128.951453819364,35.1784210220179,-1,-1
38012,카페인,커피점/카페,비알콜 음료점업,부산광역시 강서구 가락대로 1431,강서구,128.903311693783,35.1922836118996,-1,-1
38014,프레그런스코리아,커피점/카페,비알콜 음료점업,부산광역시 중구 충장대로9번길 31,중구,129.037731843488,35.1081247550422,1,1
38015,심플,커피점/카페,비알콜 음료점업,부산광역시 동구 중앙대로349번길 42,동구,129.045083459042,35.1263419833945,1,-1
38017,아마스빈,커피점/카페,비알콜 음료점업,부산광역시 남구 분포로 115,남구,129.112748233323,35.1322116244133,-1,-1
38041,EMOCoffee,커피점/카페,비알콜 음료점업,부산광역시 연제구 아시아드대로 22,연제구,129.069689223373,35.1872777059655,-1,-1
38069,투썸플레이스,커피점/카페,비알콜 음료점업,부산광역시 북구 금곡대로 15,북구,129.004490651818,35.211326279249,3,-1
38078,카페나무1994,커피점/카페,비알콜 음료점업,부산광역시 강서구 유통단지1로 41,강서구,128.955726240678,35.1673091829512,-1,-1
38088,부산커피,커피점/카페,비알콜 음료점업,부산광역시 금정구 장전온천천로 93,금정구,129.089079057291,35.2333007040309,2,2
38106,커피앤토스트,커피점/카페,비알콜 음료점업,부산광역시 해운대구 반송순환로 181,해운대구,129.15001845881,35.2255531072044,-1,-1
38111,크로체,커피점/카페,비알콜 음료점업,부산광역시 사상구 백양대로 987,사상구,128.992847757842,35.1941155868364,-1,-1
38114,드롭탑,커피점/카페,비알콜 음료점업,부산광역시 수영구 황령대로473번길 15,수영구,129.106743517168,35.1401087077634,0,0
38119,잇츠테이블,커피점/카페,비알콜 음료점업,부산광역시 수영구 장대골로31번길 21,수영구,129.10983329985,35.158351590809,0,-1
38138,컴포즈커피,커피점/카페,비알콜 음료점업,부산광역시 해운대구 해운대로 407,해운대구,129.140720218311,35.167853726702,5,-1
38142,앤그레이커피로스터스,커피점/카페,비알콜 음료점업,부산광역시 동구 중앙대로180번길 9,동구,129.040001221783,35.1132072370344,1,-1
38146,컴포즈커피마린시티제니스점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 마린시티2로 33,해운대구,129.144841326609,35.1572236013279,15,-1
38191,이강커피,커피점/카페,비알콜 음료점업,부산광역시 금정구 금정로 109,금정구,129.087204611192,35.2344352644827,2,2
38206,셀리치온,커피점/카페,비알콜 음료점업,부산광역시 기장군 일광면 학리길 18,기장군,129.243310072112,35.2578099260807,-1,-1
38234,데일리커피,커피점/카페,비알콜 음료점업,부산광역시 강서구 유통단지1로 41,강서구,128.955726240678,35.1673091829512,-1,-1
38263,프리젠트,커피점/카페,비알콜 음료점업,부산광역시 수영구 황령산로 31,수영구,129.107580856707,35.1484569361221,0,-1
